tick,UART_DIN,UART_CE_n,UART_WR,UART_ADDR,MEMRD_ADDR,MEMRD_DATA,RA,CD16,CSA_12_0
44040510,13,1,1,0,0,0,0,100013,1120
44040511,0,1,1,0,0,0,0,0,1120
44040512,0,1,1,0,0,0,0,0,1120
44040513,0,1,1,0,0,0,0,0,1120
44040514,1,1,1,0,0,0,0,1,1120
44040515,1,1,1,0,0,0,0,1,1120
44040516,1,1,1,0,0,0,0,1,1120
44040517,2,1,1,0,0,0,0,2,1120
44040518,2,1,1,0,0,0,0,2,1120
44040519,2,1,1,0,0,0,0,2,1120
44040520,4,1,1,0,0,0,0,4,1120
44040521,4,1,1,0,0,0,0,4,1120
44040522,4,1,1,0,0,0,0,4,1120
44040523,10,1,1,0,0,0,0,10,1120
44040524,10,1,1,0,0,0,0,10,1120
44040525,10,1,1,0,0,0,0,10,1120
44040526,20,1,1,0,0,0,0,20,1120
44040527,20,1,1,0,0,0,0,20,1120
44040528,20,1,1,0,0,0,0,20,1120
44040529,40,1,1,0,0,0,0,40,1120
44040530,40,1,1,0,0,0,0,40,1120
44040531,40,1,1,0,0,0,0,40,1120
44040532,100,1,1,0,0,0,0,100,1120
44040533,100,1,1,0,0,0,0,100,1120
44040534,100,1,1,0,0,0,0,100,1120
44040535,200,1,1,0,0,0,0,200,1120
44040536,200,1,1,0,0,0,0,200,1120
44040537,200,1,1,0,0,0,0,200,1120
44040538,0,1,1,0,0,0,0,400,1120
44040539,0,1,1,0,0,0,0,400,1120
44040540,0,1,1,0,0,0,0,400,1120
44040541,0,1,1,0,0,0,0,1000,1120
44040542,0,1,1,0,0,0,0,1000,1120
44040543,0,1,1,0,0,0,0,1000,1120
44040544,0,1,1,0,0,0,0,2000,1120
44040545,0,1,1,0,0,0,0,2000,1120
44040546,0,1,1,0,0,0,0,2000,1120
44040547,0,1,1,0,0,0,0,4000,1120
44040548,0,1,1,0,0,0,0,4000,1120
44040549,0,1,1,0,0,0,0,4000,1121
44040550,1,1,1,0,0,0,0,10001,1121
44040551,1,1,1,0,0,0,0,10001,1122
44040552,1,1,1,0,0,0,0,10001,1133
44040553,0,1,1,0,0,0,0,0,1133
44040554,0,1,1,0,0,0,0,0,1133
44040555,0,1,1,0,0,0,0,0,1134
44040556,0,1,1,0,0,0,0,0,1134
