tick,UART_DIN,UART_CE_n,UART_WR,UART_ADDR,RA,QREG,RB,RX,MEMRD_ADDR,MEMRD_DATA,CD16,CSA_12_0
44040460,44,1,1,0,0,10044,7732,7544,0,0,10044,326
44040461,44,1,1,0,0,10044,7732,7544,0,0,10044,327
44040462,44,1,1,0,0,10044,7732,7544,0,0,10044,327
44040463,44,1,1,0,0,10044,7732,7544,0,0,10044,330
44040464,44,1,1,0,0,10044,7732,7544,0,0,10044,660
44040465,44,1,1,0,0,10044,7732,7544,0,0,10044,660
44040466,44,1,1,0,0,10044,7732,7544,0,0,10044,660
44040467,44,1,1,0,0,10044,7732,7544,0,0,10044,3642
44040468,44,1,1,0,0,10044,7732,7544,0,0,10044,3642
44040469,44,1,1,0,0,10044,7732,7544,0,0,10044,3642
44040470,44,1,1,0,0,10044,7732,7544,0,0,10044,663
44040471,0,1,1,0,0,10044,7732,7544,0,0,100000,663
44040472,0,1,1,0,0,10044,7732,7544,0,0,100000,663
44040473,0,1,1,0,0,10044,7732,7544,0,0,100000,664
44040474,44,1,1,0,0,110044,7732,7544,0,0,110044,664
44040475,44,1,1,0,0,110044,7732,7544,0,0,110044,665
44040476,44,1,1,0,0,110044,7732,7544,0,0,110044,665
44040477,44,1,1,0,0,110044,7732,7544,0,0,110044,665
44040478,44,1,1,0,0,110044,7732,7544,0,0,110044,666
44040479,44,1,1,0,0,110044,7732,7544,0,0,110044,1112
44040480,45,1,1,0,0,110044,7732,7544,0,0,130045,1112
44040481,45,1,1,0,0,110044,7732,7544,0,0,130045,1112
44040482,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44040483,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44040484,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44040485,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44040486,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44040487,45,1,1,0,0,110044,7732,7544,0,0,130045,1113
44040488,44,1,1,0,0,110044,7732,7544,0,0,110044,1113
44040489,44,1,1,0,0,110044,7732,7544,0,0,110044,1114
44040490,44,1,1,0,0,110044,7732,7544,0,0,110044,1114
44040491,10,1,1,0,0,110044,7732,7544,0,0,10,1114
44040492,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44040493,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44040494,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44040495,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44040496,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44040497,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44040498,10,1,1,0,0,110044,7732,7544,0,0,10,1115
44040499,0,1,1,0,0,110044,7732,7544,0,0,0,1115
44040500,0,1,1,0,0,110044,7732,7544,0,0,0,1116
44040501,0,1,1,0,0,110044,7732,7544,0,0,0,1116
44040502,44,1,1,0,0,0,7732,7544,0,0,110044,1116
44040503,44,1,1,0,0,0,7732,7544,0,0,110044,666
44040504,44,1,1,0,0,0,7732,7544,0,0,110044,1117
44040505,1,1,1,0,0,0,7732,7544,0,0,60001,1117
44040506,1,1,1,0,0,0,7732,7544,0,0,60001,1120
44040507,1,1,1,0,0,0,7732,7544,0,0,60001,1120
44040508,13,1,1,0,0,0,7732,7544,0,0,100013,1120
44040509,13,1,1,0,0,0,7732,7544,0,0,100013,1121
44040510,13,1,1,0,0,0,7732,7544,0,0,100013,1120
44040511,0,1,1,0,0,100013,7732,7544,0,0,0,1120
44040512,0,1,1,0,0,100013,7732,7544,0,0,0,1120
44040513,0,1,1,0,0,100013,7732,7544,0,0,0,1120
44040514,1,1,1,0,0,26,7732,7544,0,0,1,1120
44040515,1,1,1,0,0,26,7732,7544,0,0,1,1120
44040516,1,1,1,0,0,26,7732,7544,0,0,1,1120
44040517,2,1,1,0,0,54,7732,7544,0,0,2,1120
44040518,2,1,1,0,0,54,7732,7544,0,0,2,1120
44040519,2,1,1,0,0,54,7732,7544,0,0,2,1120
44040520,4,1,1,0,0,130,7732,7544,0,0,4,1120
44040521,4,1,1,0,0,130,7732,7544,0,0,4,1120
44040522,4,1,1,0,0,130,7732,7544,0,0,4,1120
44040523,10,1,1,0,0,260,7732,7544,0,0,10,1120
44040524,10,1,1,0,0,260,7732,7544,0,0,10,1120
44040525,10,1,1,0,0,260,7732,7544,0,0,10,1120
44040526,20,1,1,0,0,540,7732,7544,0,0,20,1120
44040527,20,1,1,0,0,540,7732,7544,0,0,20,1120
44040528,20,1,1,0,0,540,7732,7544,0,0,20,1120
44040529,40,1,1,0,0,1300,7732,7544,0,0,40,1120
44040530,40,1,1,0,0,1300,7732,7544,0,0,40,1120
44040531,40,1,1,0,0,1300,7732,7544,0,0,40,1120
44040532,100,1,1,0,0,2600,7732,7544,0,0,100,1120
44040533,100,1,1,0,0,2600,7732,7544,0,0,100,1120
44040534,100,1,1,0,0,2600,7732,7544,0,0,100,1120
44040535,200,1,1,0,0,5400,7732,7544,0,0,200,1120
44040536,200,1,1,0,0,5400,7732,7544,0,0,200,1120
44040537,200,1,1,0,0,5400,7732,7544,0,0,200,1120
44040538,0,1,1,0,0,13000,7732,7544,0,0,400,1120
44040539,0,1,1,0,0,13000,7732,7544,0,0,400,1120
44040540,0,1,1,0,0,13000,7732,7544,0,0,400,1120
44040541,0,1,1,0,0,26000,7732,7544,0,0,1000,1120
44040542,0,1,1,0,0,26000,7732,7544,0,0,1000,1120
44040543,0,1,1,0,0,26000,7732,7544,0,0,1000,1120
44040544,0,1,1,0,0,54000,7732,7544,0,0,2000,1120
44040545,0,1,1,0,0,54000,7732,7544,0,0,2000,1120
44040546,0,1,1,0,0,54000,7732,7544,0,0,2000,1120
44040547,0,1,1,0,0,130000,7732,7544,0,0,4000,1120
44040548,0,1,1,0,0,130000,7732,7544,0,0,4000,1120
44040549,0,1,1,0,0,130000,7732,7544,0,0,4000,1121
44040550,1,1,1,0,0,60000,7732,7544,0,0,10001,1121
44040551,1,1,1,0,0,60000,7732,7544,0,0,10001,1122
44040552,1,1,1,0,0,60000,7732,7544,0,0,10001,1133
44040553,0,1,1,0,0,140000,7732,7544,0,0,0,1133
44040554,0,1,1,0,0,140000,7732,7544,0,0,0,1133
44040555,0,1,1,0,0,140000,7732,7544,0,0,0,1134
44040556,0,1,1,0,0,0,7732,7544,0,0,0,1134
44040557,0,1,1,0,0,0,7732,7544,0,0,0,1135
44040558,0,1,1,0,0,0,7732,7544,0,0,0,1140
44040559,0,1,1,0,0,0,7732,7544,0,0,0,1140
44040560,0,1,1,0,0,0,7732,7544,0,0,0,1140
44040561,0,1,1,0,0,0,7732,7544,0,0,0,1141
44040562,1,1,1,0,0,0,7732,7544,0,0,1,1141
44040563,1,1,1,0,0,0,7732,7544,0,0,1,1142
44040564,1,1,1,0,0,0,7732,7544,0,0,1,1142
