tick,CSA,AREG,TREG,RX,CD16,FIDBO,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0
71661897,475,0,302,7504,10244,10244,0,0,10244,10244,122020,474,0,10244,167533,0,0
71661898,475,0,302,7504,302,302,0,0,10244,10244,122020,60000,0,302,177475,0,302
71661899,476,0,302,7504,302,302,0,0,10244,10244,122020,60000,0,302,177475,0,302
71661900,501,0,302,7504,302,302,0,0,10244,10244,122020,60000,0,302,177475,0,302
71661901,501,0,302,7504,10244,10244,0,0,10244,10244,141000,501,0,10244,167533,0,0
71661902,501,0,302,7504,10244,10244,0,0,10244,10244,141000,501,10,10244,167533,0,0
71661903,502,0,302,7504,10244,10244,0,0,10244,10244,141000,501,10,10244,167533,0,0
71661904,502,0,302,7504,7,7,0,0,10244,10244,122020,110350,10,300,177770,7,302
71661905,503,0,302,7504,7,7,0,0,10244,10244,122020,110350,4,300,177770,7,302
71661906,503,0,302,7504,7,7,0,0,10244,10244,122020,110350,4,300,177770,7,302
71661907,503,0,302,7504,300,300,0,0,300,10244,3400,300,4,0,177477,300,0
71661908,504,0,302,7504,300,300,0,0,300,10244,3400,300,10,0,177477,300,0
71661909,511,0,302,7504,300,300,0,0,300,10244,3400,300,10,0,177477,300,0
71661910,511,0,302,7504,3,3,0,0,300,10244,140000,110511,10,300,177774,3,302
71661911,511,0,302,7504,3,3,0,0,300,10244,140000,110511,5,300,177774,3,302
71661912,3722,0,302,7504,3,3,0,0,300,10244,140000,110511,5,300,177774,3,302
71661913,3722,0,302,7504,30141,30141,0,0,300,10244,1400,163720,5,30141,147636,30141,1
71661914,3722,0,302,7504,30141,30141,0,0,300,10244,1400,163720,37,30141,147636,30141,1
71661915,521,0,302,7504,30141,30141,0,0,300,10244,1400,163720,37,30141,147636,30141,1
71661916,521,0,302,7504,305,305,0,0,30141,10244,60460,521,37,305,177472,305,0
71661917,521,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661918,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661919,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661920,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661921,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661922,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661923,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661924,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661925,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661926,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661927,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661928,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661929,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661930,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661931,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661932,522,0,302,7504,305,305,0,0,30141,10244,60460,521,14,305,177472,305,0
71661933,522,0,302,7504,70,70,0,0,305,10244,142400,70350,14,0,177707,70,7504
71661934,523,0,302,7504,70,70,0,0,305,10244,142400,70350,14,0,177707,70,7504
71661935,527,0,302,7504,70,70,0,0,305,10244,142400,70350,14,0,177707,70,7504
71661936,527,0,302,7504,30,30,0,0,0,10244,34000,30527,14,0,177747,30,7672
71661937,527,0,302,7504,30,30,0,0,0,10244,34000,30527,0,0,177747,30,7672
71661938,530,0,302,7504,30,30,0,0,0,10244,34000,30527,0,0,177747,30,7672
71661939,530,0,302,7504,0,0,0,0,0,10244,14000,140000,0,0,177777,0,0
71661940,531,0,302,7504,0,0,0,0,0,10244,14000,140000,16,0,177777,0,0
71661941,531,0,302,7504,0,0,0,0,0,10244,14000,140000,16,0,177777,0,0
71661942,531,0,302,7504,74030,74030,0,0,0,10244,0,0,16,74030,103747,74030,0
71661943,532,0,302,7504,74030,74030,0,0,0,10244,0,0,1,74030,103747,74030,0
71661944,532,0,302,7504,74030,74030,0,0,0,10244,0,0,1,74030,103747,74030,0
71661945,532,0,302,7504,40000,40000,0,0,74030,10244,14170,160340,1,40000,137777,40000,1
71661946,533,0,302,7504,40000,40000,0,0,74030,10244,14170,160340,1,40000,137777,40000,1
71661947,537,0,302,7504,40000,40000,0,0,74030,10244,14170,160340,1,40000,137777,40000,1
71661948,537,0,302,7504,4000,4000,0,0,74030,10244,100,130537,1,4000,173777,4000,20002
71661949,537,0,302,7504,4000,4000,0,0,74030,10244,100,130537,1,4000,173777,4000,20002
71661950,540,0,302,7504,4000,4000,0,0,74030,10244,100,130537,1,4000,173777,4000,20002
71661951,540,0,302,7504,2,2,0,0,74030,10244,10,10350,1,0,177775,2,55672
71661952,541,0,302,7504,2,2,0,0,74030,10244,10,10350,1,0,177775,2,55672
71661953,476,0,302,7504,2,2,0,0,74030,10244,10,10350,1,0,177775,2,55672
71661954,476,0,302,7504,1,1,0,0,74030,10244,1000,0,1,1,177776,1,0
71661955,476,0,302,7504,1,1,0,0,74030,10244,1000,0,0,1,177776,1,0
71661956,0,0,302,7504,1,1,0,0,74030,10244,1000,0,0,1,177776,1,0
71661957,0,0,302,7504,0,74030,0,0,74030,10244,400,0,0,74030,103747,0,0
71661958,0,0,302,7504,0,74030,0,0,74030,10244,400,0,4,74030,103747,0,0
71661959,2001,0,302,7504,0,74030,0,0,74030,10244,400,0,0,74030,103747,0,0
71661960,17107,0,302,7504,0,74030,0,0,74030,10244,400,0,0,74030,103747,0,0
71661961,17107,0,302,7504,0,74030,0,0,74030,10244,400,0,0,74030,103747,0,0
71661962,0,0,302,7504,0,74030,3107,0,74030,10244,400,0,0,74030,103747,0,0
71661963,6000,0,302,7504,0,74030,3107,0,74030,10244,400,0,0,74030,103747,0,0
71661964,6000,0,302,7504,0,74030,0,0,74030,10244,400,0,0,74030,103747,0,0
71661965,6000,0,302,7504,0,74030,0,0,74030,10244,400,0,0,74030,103747,0,0
71661966,6000,0,302,7504,0,74030,0,0,74030,10244,400,0,0,74030,103747,0,0
71661967,7752,0,302,7504,175235,74030,0,175235,74030,10244,400,0,0,74030,103747,0,0
71661968,7752,0,302,7504,175235,74030,0,175235,74030,10244,400,0,0,74030,103747,0,0
71661969,7752,0,302,7504,175235,74030,0,175235,74030,10244,400,0,0,74030,103747,0,0
71661970,7752,0,302,7504,175235,74030,0,175235,74030,10244,400,0,0,74030,103747,0,0
71661971,7752,0,302,7504,175235,74030,0,0,74030,10244,400,0,0,74030,103747,0,0
71661972,7752,0,302,7504,175235,74030,0,0,74030,10244,400,0,0,74030,103747,0,0
71661973,7752,0,302,7504,175235,74030,0,0,74030,10244,400,0,0,74030,103747,0,0
71661974,256,0,302,7504,175235,74030,0,0,74030,175235,14170,256,0,74030,103747,0,0
71661975,256,0,302,7504,74030,74030,0,0,74030,175235,14170,256,6,74030,103747,0,0
71661976,257,0,302,7504,74030,74030,0,0,74030,175235,14170,256,6,74030,103747,0,0
71661977,257,0,302,7504,10244,10244,0,0,74030,74030,14170,0,6,10244,167533,10244,0
71661978,260,0,302,7504,10244,10244,0,0,74030,74030,14170,0,0,10244,167533,10244,0
71661979,264,0,302,7504,10244,10244,0,0,74030,74030,14170,0,0,10244,167533,10244,0
71661980,264,0,302,7504,177777,177777,0,0,74030,74030,122020,264,0,177777,0,0,10244
71661981,264,0,302,7504,177777,177777,0,0,74030,74030,122020,264,1,177777,0,0,10244
71661982,265,0,302,7504,177777,177777,0,0,74030,74030,122020,264,1,177777,0,0,10244
71661983,265,0,302,7504,10,10,0,0,177777,74030,177777,350,1,10,177767,10,7672
